Transcript Cluster ID	Gene Title	Gene Symbol	Entrez Gene ID	Cytoband	GO Description	Transcript Classification
7892504	---	---	---	---	---	---
7892517	---	---	---	---	---	---
7892524	---	---	---	---	---	---
7892531	---	---	---	---	---	---
7892537	---	---	---	---	---	---
7892551	---	---	---	---	---	---
7892557	---	---	---	---	---	---
7892564	---	---	---	---	---	---
7892570	---	---	---	---	---	---
7892583	---	---	---	---	---	---
7892589	---	---	---	---	---	---
7892596	---	---	---	---	---	---
7892602	---	---	---	---	---	---
7892616	---	---	---	---	---	---
7892622	---	---	---	---	---	---
7892629	---	---	---	---	---	---
7892635	---	---	---	---	---	---
7892648	---	---	---	---	---	---
7892654	---	---	---	---	---	---
7892661	---	---	---	---	---	---
7892667	---	---	---	---	---	---
7892680	---	---	---	---	---	---
7892686	---	---	---	---	---	---
7892693	---	---	---	---	---	---
7892699	---	---	---	---	---	---
7892712	---	---	---	---	---	---
7892718	---	---	---	---	---	---
7892725	---	---	---	---	---	---
7892731	---	---	---	---	---	---
7892744	---	---	---	---	---	---
7892750	---	---	---	---	---	---
7892757	---	---	---	---	---	---
7892763	---	---	---	---	---	---
7892776	---	---	---	---	---	---
7892782	---	---	---	---	---	---
7892789	---	---	---	---	---	---
7892795	---	---	---	---	---	---
7892808	---	---	---	---	---	---
7892814	---	---	---	---	---	---
7892821	---	---	---	---	---	---
7892827	---	---	---	---	---	---
7892840	---	---	---	---	---	---
7892846	---	---	---	---	---	---
7892853	---	---	---	---	---	---
7892859	---	---	---	---	---	---
7892872	---	---	---	---	---	---
7892878	---	---	---	---	---	---
7892885	---	---	---	---	---	---
7892891	---	---	---	---	---	---
7892904	---	---	---	---	---	---
7892910	---	---	---	---	---	---
7892917	---	---	---	---	---	---
7892923	---	---	---	---	---	---
7892936	---	---	---	---	---	---
7892942	---	---	---	---	---	---
7892949	---	---	---	---	---	---
7892955	---	---	---	---	---	---
7892968	---	---	---	---	---	---
7892974	---	---	---	---	---	---
7892981	---	---	---	---	---	---
7892987	---	---	---	---	---	---
7893000	---	---	---	---	---	---
7893006	---	---	---	---	---	---
7893013	---	---	---	---	---	---
7893019	---	---	---	---	---	---
7893033	---	---	---	---	---	---
7893039	---	---	---	---	---	---
7893046	---	---	---	---	---	---
7893052	---	---	---	---	---	---
7893066	---	---	---	---	---	---
7893072	---	---	---	---	---	---
7893079	---	---	---	---	---	---
7893085	---	---	---	---	---	---
7893098	---	---	---	---	---	---
7893104	---	---	---	---	---	---
7893111	---	---	---	---	---	---
7893117	---	---	---	---	---	---
7893130	---	---	---	---	---	---
7893136	---	---	---	---	---	---
7893143	---	---	---	---	---	---
7893149	---	---	---	---	---	---
7893162	---	---	---	---	---	---
7893168	---	---	---	---	---	---
7893175	---	---	---	---	---	---
7893181	---	---	---	---	---	---
7893194	---	---	---	---	---	---
7893200	---	---	---	---	---	---
7893207	---	---	---	---	---	---
7893213	---	---	---	---	---	---
7893226	---	---	---	---	---	---
7893232	---	---	---	---	---	---
7893239	---	---	---	---	---	---
7893245	---	---	---	---	---	---
7893258	---	---	---	---	---	---
7893264	---	---	---	---	---	---
7893271	---	---	---	---	---	---
7893277	---	---	---	---	---	---
7893290	---	---	---	---	---	---
7893296	---	---	---	---	---	---
7893303	---	---	---	---	---	---
7893309	---	---	---	---	---	---
7893322	---	---	---	---	---	---
7893328	---	---	---	---	---	---
7893335	---	---	---	---	---	---
7893341	---	---	---	---	---	---
7893354	---	---	---	---	---	---
7893360	---	---	---	---	---	---
7893367	---	---	---	---	---	---
7893373	---	---	---	---	---	---
7893386	---	---	---	---	---	---
7893392	---	---	---	---	---	---
7893399	---	---	---	---	---	---
7893405	---	---	---	---	---	---
